WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,8/1/1998 6:55,0.5,m,TP_ugl,Phosphorus as P,,340,ug/l,,,0.34,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,9/6/1998 7:15,0.5,m,TP_ugl,Phosphorus as P,,200,ug/l,,,0.2,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,10/31/1998 6:55,0.5,m,TP_ugl,Phosphorus as P,,170,ug/l,,,0.17,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,12/5/1998 7:00,0.5,m,TP_ugl,Phosphorus as P,,170,ug/l,,,0.17,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,1/2/1999 7:15,0.5,m,TP_ugl,Phosphorus as P,,250,ug/l,,,0.25,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,2/27/1999 7:15,0.5,m,TP_ugl,Phosphorus as P,,300,ug/l,,,0.3,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,4/3/1999 7:15,0.5,m,TP_ugl,Phosphorus as P,,20,ug/l,,,0.02,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,5/1/1999 7:00,0.5,m,TP_ugl,Phosphorus as P,,170,ug/l,,,0.17,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,6/5/1999 6:45,0.5,m,TP_ugl,Phosphorus as P,,250,ug/l,,,0.25,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,7/4/1999 6:40,0.5,m,TP_ugl,Phosphorus as P,,370,ug/l,,,0.37,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,7/31/1999 6:50,0.5,m,TP_ugl,Phosphorus as P,,290,ug/l,,,0.29,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,10/2/1999 7:20,0.5,m,TP_ugl,Phosphorus as P,,240,ug/l,,,0.24,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,10/30/1999 6:40,0.5,m,TP_ugl,Phosphorus as P,,240,ug/l,Q,,0.24,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,12/4/1999 7:05,0.5,m,TP_ugl,Phosphorus as P,,150,ug/l,,,0.15,mg/l
330007,Tidal Myakka River,CHEVWQMN_WQ,CHV002, Myakka River,CHV002,26.95944,-82.212778,1991A,1/1/2000 7:25,0.5,m,TP_ugl,Phosphorus as P,,190,ug/l,,,0.19,mg/l
